,Text,Sentiment
790,چرا توضیح نمیدید که برای ایفن هست .نزدیک بود اشتباها سفارش بدم,Negative
791,واقعا مشکل روحی روانی دارین برین دکتر ی مشت خشم فروخورده و خاموش از کودکی نگه داشتین ک چی بشه نچ نچ,Negative
792,همیشه وقتی حرف ازدرون گرا و برونگرایی میشه به این فکر میکنم که من کدومشم وباز هم به هیچ نتیجه ایی نمیرسم، ولی حالا دلم می خواد ازدرونم بگم از دردها و شادی هام بگم هرچند که میدونم فعلا مخاطب ندارم ولی میگم، اول از همه از هر چی که الان تو ذهنمه میگم وای وای از سریال پایتخت متنفرم,Negative
793,من یکی از فامیلاتم هر کی بهت تو هین میکنه گوه میشه تو اعصابم,Negative
794,لذا از بزرگواران این رسانه خواهشمندیم صدای مردم این روستا را به مسئولان استانی برسانند و بتوانند مشکل مردم این روستا راحل نمایند. به امید حل مشکل با تشکر اهالی روستای عبدلیه شهرستان رامشیر استان خوزستان,Neutral
795,خیلیا هستن که دارن در جهت عادی سازی شیو نکردن زنا تلاش میکنن که عالی خب دمشون هم گرم اصلا. ولی اعصابم خورد میشه که تعریفشون از HAIRY اینه :))))))))))) بدتر لجم میگیره ازشون.,Negative
798,درباره قوی سیاه چند ماه پیش نوشتم. خوندنش رو به رفقای استارت آپی وبه هرکسی که تو زمین عدم قطعیت دنبال موفقیت میگرده توصیه میکنم. …,Neutral
799,دلیل احتمالی اول ماجرای مقاله ای است که در روزنامه نیویورک تایمز منتشر شد و یکی از مقامات عالی دولت ترامپ در کاخ سفید به صورت ناشناس در این مقاله نوشته بود که گروه مقاومت در کاخ سفید علیه ترامپ شکل گرفته . ترامپ هیچ وقت موفق نشد بفهمه چه کسی این مقاله رو نوشته و شاید هیلی باشه.,Neutral
800,توی شگفت انگیز می ارزه بخریش؛خوش بو و همه پسند ؛ پخش بوش کمه اما ماندگاریش خوبه.اگه به نظرتون قیمتش مناسب اومده بخرید چون خوشبو هستش.,Positive
801,مثل همیشه تو موقعیتی قرار گرفتم که فقط از خودم میتونم متنفر بشم و زورم به بقیه نمیرسه,Negative
802,بالاخره اشکم دراومد! گوشی رو پرت کردم و تند تند نوشتم! گاهی از ضعف های خودم متنفر میشم و گاهی میفهممشون,Negative
803,گریه بقیه شمارو ارضا میکنه؟ ازنظر من انسان قرن 21 برای مسائل اجتماعی نیازبه گریه نداره نیازبه اگاهی و تفکر داره تا جلو خسارات بعدیو بگیره احساساتی نظیر غم و خشم چیزی نیس که ادم بخواد برای طولانی مدت همراه خودش داشته باشه و بارفتن اون احساس شما دیگه خودتو مسئولو درگیر نمیبینی,Neutral
804,یعنی از این حجم پفیوز هایی که هنوز میگن پشیمان نیستم از خشم میسوزم و میپیچم به خودم.... یک مشت بی شرف انگل گه اشغال که لیاقت نفس کشیدن رو ندارن ماله کش های حروم زاده #خرمشهر,Negative
805,برانکو سمینار گذاشته درباره موفقیت؟ اونوقت یه عده هم بین 250 هزار تا دو میلیون تومان پول بلیت دادند که برن برانکو براشون درباره موفقیت منبر بره؟ عجب بازار عجیبیه این «موفقیت فروشی». جای تاسف داره برای باشگاه پرسپولیس که اجازه داده مربی تحت قراردادش چنین کار چیپی بکنه.,Positive
806,چون اعصابم از حرفهای ترامپ و هراس مردم خرد شده بود، برای خودم چلوکباب سفارش دادم و خوردم. پونزده تومن از تو ستارخان. تا چلوکباب هست ایران هم هست,Negative
807,انگشتر خوشگلیه ، چند روزه دستمه ولی در رابطه با اینکه ثبات رنگش چجوریه هنوز نمیتونم نظر بدم,Neutral
809,از کل زندگیم تا حداقل سه سال دیگهم متنفرم، کم و زیاد میشه ولی این اصل تغییری نمیکنه.,Negative
810,رفتار این استاده از صب گند زده به اعصابم. آخه یه نفر چقدر میتونه عقدهای باشه که سر لجبازی با یکی دیگه دانشجو بدبخت اذیت کنه,Negative
811,تو فوتبالیستها هر وقت سوباسا یه بازی گند میزد، یهو واکی بایاشی از آلمان با اولین پرواز خودشو میرسوند کنار زمین یکم داد سر سوباسا میزد و برمیگشت آلمان. منم کیف میکردم. یهو یادم افتاد اعصابم بهم ریخت. #سوباسا #واکی_بایاشی #فوتبالیستها,Negative
812,دوست عزیز، انتقاد و امر به معروف و نهی از منکر روش داره، شما حق نداری به یه خانم نامحرم هر تهمتی دلت بخواد بزنی، اونم وقتی که ایشون گفتن منظوری نداشتن، من رفتار ایشون رو تایید نمیکنم، ولی ادبیات و نحوه انتقاد شما هم اشتباهه …,Neutral
813,امروز مثلا روز فارغ التحصیلی ما بود از خنده های تصنعی عده ای از بچه ها اعصابم خورد شده بود جدی دارم فکرمیکنم کاش جشن رو نرم یه عده رو نبینم دیگه ادعاشونمیشه با هممشکل دارن ولی امروز همدیگه رو بغل میکردن با هم عکس میگیرن ولی پشت سر همدیگه حرف میزنن. یه خورده ثبات لطفا,Negative
814,عجب گليييييي,Positive
815,انقدر خندیدم که اصلا غم شب رو شست برد! ای تف بر پدرت:)) …,Positive
816,بدم میاد میگن ما اینجا موندیم که خدمت کنیم یا فلان کنیم یا ... دوست من شما اینجایی چون جای بهتری نداری اونجا که خیلی خوبه شما سرت پایینه نهایتا یه کارمند خوبی کسی تحویلت نمیگیره اینجا که باشی کارآفرین نمونه ای کلی هم تحویلت میگیرن بهتر هم پول میسازی,Negative
817, تحریم بخاطر گوه خوری اون چلاقه نه این ....اگر اون چلاق برای کلزنیا شاخ و شونه نکشه کسی کاریش نداره,Negative
818,از عجایب ادبیات معاصر ما همین بس که شعری که پنجاه سال قبل در انتقاد از سران حکومت و وضع جامعه سروده شده است را الان هم از گفتنش ترس داریم که به کسی بر نخورد!,Positive
819,#از_فروشگاه_کوروش_نخرید #تحریم_داخلی #کارگران_ایرانارشیست_خوزستان #پان_مزدوریسم #حزب_ایرانارشیست #چالش_عملگرایی این نشانه خشم و انزجار,Negative
820,ﻓﺮﺩﯼ با ﻧﺎﺑﯿﻨﺎیی هم سفر شد، ﺳﺒﺪﯼ ﮔﯿﻼﺱ خریدند، قرار شد هربار دانهای بیشتر برندارند. - ﺗﻮ چرا ﺳﻪ ﺗﺎ ﺳﻪ ﺗﺎ ﻣﯽﺧﻮﺭﯼ؟ + ﺗﻮ ﻧﺎﺑﯿﻨﺎﯾﯽ، ﭼﮕﻮﻧﻪ ﻓﻬﻤﯿﺪﯼ؟ - وقتی من ﺩﻭتا ﺩﻭتا ﺧﻮﺭﺩﻡ ﻭ تو ﺍﻋﺘﺮﺍض نکردی... #شفافیت_تخصیص_ارز,Neutral
821,من توی شگفت انگیز خریدم . برای کار های سبک و خونگی لازم داشتم . چون لوازمش کامل بود این مورد رو خریدم . امیدوارم کیفیتت عالی باشه,Neutral
823,"حرف نداره""",Positive
826,آقا بزارید شگفت انگیز حداقل دو نفر بتونن بخرنش,Neutral
827,فقط من می تونم کشک بادمجون بخورم با بربری روشم نسکافه با عسل بدم پایین.,Neutral
828,نماینده #مجلس «منتقد» نیست #رئیس_جمهور «منتقد» نیست معاون رئیس جمهور «منتقد» نیست وزیر «منتقد» نیست اینها همه مسئول شنیدن انتقاد #مردم و نهایتاً بطور زنجیروار مسئول «اجرا» هستند. مردم شمارا بعنوان منتقد انتخاب نکردهاند. بلکه شما را عامل و مجری میبینند.,Neutral
829,مث سگ چسناله میکنید؛ من حتی حال ندارم ناراحت شم,Negative
830, مشکل و بدبختی ایران همینجاست که تموم فسادا از زیر عمامه امثال تو میاد بیرون و برای فریب مردم گیر دادین به دو تار موی زنان...ریش شما ریشه مردم و سوزونده...خدا خر و شناخته که بهش شاخ نداده...این عوعو سگان شما هم نیز بگذرد...#انسانم_آرزوست,Negative
832,اعصابم خرابه حالمم گرفته,Negative
833,"چون خودم هم به نظر دیگران توجه کردم و خریدم""",Positive
834,اینکه سریع جوابتونو میدم از بیکاریم نیست. از روی علاقه هم نیست. از پیام نخونده بدم میاد :))),Negative
835," ""ایران دیگه کشوره امنی نیسبه #علیرضارجایی ، توی زندان داروهای ألوده بهش میدادن که همش خون دماغ میشده وخون اش هم بند نمیومده یا قرصهایی ( اجباراً) میخورده که همش خواب الوده وگیج میشده…پس اینطوری که قرص به زور به زندانی میدن ،یوهو زندانی میخوره و یوهو #خودکشی میکنه… عجب! لعن ونفرین بر ظالمان و سفاکان...",Negative
836, برای خود بدبختت متاسف باش برای که یه تیکه استخون سگ حکومت شدی و وطنت رو به این رژیم فروختی #بیشرف,Negative
837,عجب دارم درون #عاشقان را که پیراهن نمیسوزد حرارت! #سعدی,Positive
838,وقتی میگیم کشتزار دقیقا داریم از چی حرف میزنیم اینا از عرزشی ها وحشی ترن عقده ای ،ناراحت، طلبکار، وقیح,Negative
839,معنی پشیمان بودن رو نمی فهمم. هیچ گاه از رای خود پشیمان نبودم. از رای به احمدی نژاد گرفته تا روحانی. رای دادم که انتقاد کنم و انتظار داشته باشم. طبیعیه که با گذشت زمان به حجم تجربه و سطح علمی انسان افزوده میشه. #پشیمان_نیستم,Neutral
844,یه کلیشهای هم هست که نخوابیدن رو به معنی تلاش و پشتکار و موفقیت میدونه. یارو با افتخار میگه من همیشه سه صبح میخوابم، پنج هم بیدار میشم. بخواب بابا هموطن. بخواب بذار کوروش هم بخوابه.,Neutral
846,فوری اعضای فراکسیون امید جلسه فوری تشکیل دادند تا پیگیر #اعتصاب_غذا #کروبی باشند رایزنی های نمایندگان با مسئولان عالی رتبه ادامه دارد,Neutral
847,هرچند انتقاد به کوتاهی دولت در موارد ذکر شده کاملا وارده ولی رئیس جمهور الان هم سرکارشون هستند.جناب اسفندیاری مثل بابای منه که فقط بیل زدن رو کار قبول داره و اگه ببینه پای کامپیوتر نشستی میگه چرا بیکاری؟ …,Neutral
848," ""دستم رسید و تست کردملطفا قضیه اسم عکس محصول مشخص کنید تا ببینم همونه که سفارش بدم""",Neutral
849, حتی اگر یک دهم قیمت هم باشه باز هم عملا استفاده نمی کنیدما چندتا مقام عالی رتبه در نظام داریم که دفتر یکیشان این امامزاده رو منع کرده؟! ((؛ …,Neutral
850,امروز از بچهها پرسیدم از فکر کردن به چه موضوعی شاد میشن؟ یکی گفت از فکر اینکه زن داییم فوت کرده اما جای بهتریه... بعدشم زد زیر گریه این حجم از ابراز احساسات رو بین پسرا ندیده بودم و خوشحال شدم که درگیر #کلیشههای_جنسیتی نیستن #مدرسه,Positive
851,در مصاحبه فارس مواردی گفته شده از جمله اینکه : علیرغم ضرباتی که عراق متحمل شده بود، پس از عقبنشینی از خاک ایران، همچنان مناطقی از مرز را که وسعت آن به 2500 کیلومتر مربع میرسید تا آستانه تجاوز به کویت، در اختیار داشت.,Neutral
854,مقایسه نکن... نه خودت را، نه همسرت را، نه فرزندانت را، نه منزلت را، نه درآمدت را، نه موفقیت هایت را، نه خوشی و غم هایت را...,Neutral
855,"مامانم معلم دوم ابتدایی مدرسه روستامون نودهک هست. مدرسه مختلط هست و دختر و پسر یکجا با هم هستند. میگه هی فرت و فرت نامه عاشقانه از پسرها برای دخترها با این مطلع ""که من تو را دوست دارم"" میگیریم. چند بار هم تنبیه کردن فایده نداره انگار. بازم می فرستن :)) عجب وضعیه :)))",Positive
856,کاش راننده های کامیون به این هیچ هایکر ها تجاوز کنن,Negative
857,كالاهاي bluelance خيلي زيبا هستند اما خداييش قيمتي كه اينجا براشون آورده شده به طرز شگفت آوري چندين برابر قيمت كالا در خارج از كشوره، و اصلا منطقي نيسن چنين هزينه اي براي كالايي كه چرم مصنوعي هم هست پرداخت بشه,Neutral
858,روح سرگردان غرب طهران ، همچنان به پرسه هایش ادامه می دهد .,Neutral
860,من دور مچم ۲۰ و کاملا اندازم هستش و اینکه اصلا باعث خارش نمیشه خیلی بافت چرمش خوبه و نرمه فقط نسبت به قیمتش یکم نمی ارزه چون گرونه ولی اگر تخفیف بخوره یا در پیشنهاد شگفت انگیز خریداری کنید واقعا سود کردید,Neutral
861,من از رو تعریف دوستان خریدم و به نظرم اونقدر که نوشته شده بود هم خوشبو نبود البته در شگفت انگیز میارزه,Neutral
862,فقط من وقتی دو ساعت طول بکشه تا به اصطلاح #فستفود برسه، اعصابم خورد میشه یا چی ؟ خوب آدم خودش آشپزی میکنه دیگه ... #اسنپفود #پاستاچنگال,Negative
865,اون موقع که بود و همش با دخترا لاس میزد و ریتوییتشون میکرد اعصابم خورد میشد، الان که نیست بیشتر اعصابم خورد میشه,Negative
867,تو دلم قند آب میشه وقتی تصور میکنم که امشب قراره تو خیابون شادی کنن و برقصن,Positive
868,"و این که قیمت قبل تخفیفش خنده داره و همین قیمت 19900 باید قیمت اصلی باشه""",Neutral
869,  خشم با دفاع از خود فرق داره,Neutral
871,دلم میسوزه چطور با شعور اینا و باقی بچه ها دارن بازی میکنن?? بیچاره ها باورشون شده? یادم به بچگیهای خودمون افتاد که چقدر توی مدرسه  شعور ما به بازی گرفته بود باور کرده بودیم و میترسیدیم، ???? بهترین خانم دنیا???? عجب,Positive
873,به نظرم اسم درست پنی سیلین باید پینس ایلین باشه دیشب یه دونه زدم ،هنوز نمیتونم درست راه برم خو چته وحشی انگار من گفتم بیا برو تو کونم خو دکتر گفته میفهمییییی,Negative
874,#سیدمحمدخاتمی موفقیت دوباره #اصغر_فرهادی را در #اسکار شادباش گفت و آن را نشانه عزت، سربلندی، صلحخواهی و انسانمداری ایران و ایرانی دانست,Positive
875,هر اندیشه ای که حق پرسشگری و انتقاد را به مخالف خود ندهد از اساس مشکل دارد.,Neutral
876,اقدام انقلابی مسئولان نظام جهت حجامت تنها راه گذر از این بحران میباشد #ایران …,Neutral
877,برای کسی که باور میکند هیچ توضیحی لازم نیست، کسی هم که باور نمیکند هیچ توضیحی برایش کافی نیست _دانینگر شگفت انگیز,Neutral
878,امروز تولد دوستم نگينه كه به خاطر تدريس در دانشگاه بهاييان ماههاست در زندانه. اینستاگرام من امروز پر بود از تبریکهای دوستان مشترکمون کنار عکسهای شاد گروهی با نگین؛ از همه موثرتر اما نامهی خود اوست به برادرزادهش که وقتی سه ماهه بود عمهاش زندانی شد.,Neutral
880,از ادم های نژاد پرست بی سواد متنفرم #اعتراف,Negative
883,امروز رو اون مود رو اعصابم که هی تو کتابخونه میکوبم رو میز میگم هیسسسسسس حقم یکی بیاد بهم بگه مرض,Negative
884,این گریندلوالد به این مهمی رو چرا اینقد بد ساخته بودن:)))))))) از دیشب اعصابم خرده,Negative
885,ما خشم فرو خورده هر طوفانیم آماده دفع خار از این میدانیم تنها به اشارتی ز #رهبر کافیست تا ریشه هرچه #فتنه را خشکانیم,Negative
888,توکلی در میان مالباختگان #کاسپین: اعتراض شما بجاست و آنرا تا برقراری عدالت و محاکمه آقای سیف پیگیری میکنیم,Neutral
889,دقیقا همین امشب که حس میکردم عصبی ترین و ناراحت ترین آدم رو زمینم با دو سه تا دیوونه زیر بارون شدید پیاده رفتیم بیرون و کلی خنده و خاطره ساختیم,Positive
890,دوستت دارم و این تنها رنجیست که از زهر مار هم شیرین تر است,Positive
892,بگذار ربات خطابت کنند. آن واقعی ها خاورمیانه را ویران کردند، ایران را نابود کردند اما ما ربات ها احساس داریم و حقوق بشر میخواهیم. ما خاورمیانه ای امن و ایرانی بدونِ جمهوری اسلامی میخواهیم. ایرانی که ضامن صلح و توسعه پایدار باشد نه پیام آور جنگ و خشونت #WeSupportPolandSummit,Neutral
893,اصلاااااااااااااااااااااا نخرید ، حتی دوش هم بگیرین باهاش به درد نمبخوره ، بوی صابون میده ، من که پولم رو ریختم توی جوب آب ، متأسفانه جای برگشت هم ندارم پس بدم پولم رو بگیرم,Negative
894,ميگما كسي نميدونه قيمت كناف چنده؟؟؟چن روزه ذهنم درگيره، اعصابم كيريه,Negative
895,از اين به بعد سوال كسشعر تو تايم لاين ببينم بلاك، ديگه اعصابم نميكشه از اين همه كسشعر بودن جماعت توييتري,Negative
897,ریدم تو اون روزایی که ورزش داشتیم و بارون میبارید الان یادم افتاد اعصابم خرد شد.. اصلا میرم بخوابم ساعت دو نیمه,Negative
898,از مراسم ها متنفرم...از خواستگاری گرفته تا عروسی و ختم و کوفت و زهرمار...,Negative
899,انقدر اعصابم خورده که فک کنم دوباره از اول باید بشینم friend رو ببینم :)),Negative
900,لعنت به کویر . لعنت...,Negative
902,موفقیت های #دونیت درسال95 پیش فروش گجت #فایندیما مبلغ موردنیاز:15میلیون تومان مبلغ جمع آوری شده:19میلیون و288هزارتومان تعدادحامیان:98نفر,Neutral
903,قابل توجه مسئولان نظام، مراجع عالیقدر، نمایندگان مجلس شورای اسلامی و خبرگان، شورای نگهبان، تشخیص مصلحت نظام، سران کشوری و لشکری. #شهید_بهشتی,Neutral
904,من کلا از جلسه بدم میاد،حالا اینا صبح که ما هنوز بیدار نشدیم جلسه میذارن .,Negative
905,از مراسم #خاکسپاری بیزارم. لعنت به هر مشت خاکی که به روی جانِدلی ریخته میشود که کمک کند تا باور کنی زندگی گاهی چه بیرحم و ترسناک است.,Negative
906,"اگه شما هم مثل منید لایک کنید""",Neutral
907,پاییزان، پاییزان، شوق عبور یاران در شهر مهر ورزان، پاییزان رهایی، در جادههای حیرت گشتیم و باز گشتیم آنجا، آفاق آشنایست پاییزان، پاییزان، رویای روشن عشق در فصل برگ ریزان، ... افشين سپهر,Neutral
908,خشونت عریانی که پشت لبخند تصنعی، یقه ی کراوات زده و موهای آراسته اینستاگرامی گاهی به بیرون درز می کند و در معرض دید عموم قرار می گیرد. طبقه ی روشنفکری که متمایزترین وجه اش پرت بودن از مسایل اساسی ایران است. ما که هیچ کاری از دستمان برنمی آید...,Neutral
910, هم نرم کننده س هم به خوبی تمیز میکنهپرویز سه جمله است: پرویز فکر نمیکند، پرویز شاد است، پرویز راحتاست!,Neutral
911,به بابام میگم بدم میاد آبمیوه رو بریزم تو لیوان شیشه ای بخورم برگشته میگه بریز تو آفتابه بخور نی ام داره مهر پدری به این میگن نه؟؟,Positive
912,فامیلامون دارن فرت و فرت روز عکاسو به همدیگه تبریک میگن اگه هرکی دوربین داره عکاسه، هرکی هم که مداد داره نویسندس,Neutral
913,"طرف اسم روزنامه ش ""قانون""ه بعد جزو بدهکارهای بزرگ بانکی بوده آخر سالی عجب شیر تو شیری شده مملکت …",Positive
914,چیزایی که باید یاد میگرفت و یاد گرفت یا شایدم بلد بود نیازی بهت نداره چون از ریشه باهات فرق داره، چقد از خودم بدم میاد...,Negative
915, وصلش کنید به کامپیوتر اگه کارت صدا حرفه ای داریدتو باشگاه مشتریان بانک تجارت 900امتیاز دارم ولی لیست جوایز بالانمیاد کالا پیشنهاد بدم چکار کنم,Neutral
916,تو اين وضعيت كه سرقت و زورگیری ماشین زیاد شده قبل از اينكه واسه جبران دير باشه به فكر باش. با دنياي شگفت انگيز و جادويي اسپيرون آشنا شو??‍♂️?,Neutral
917,سلام عزیزان شاد و موفق باشید,Positive
919,4-5 تا توئیت آبدار در باب #دلار نوشتم اما انقدر بی اعصابم که فعلا همین از سر ریال بی ارزشمان هم زیاد است,Negative
920,  حرامزاده ها گورتونو از این مملکت گم کنین دیگه عجب رویی دارین شما اخوند ها همه ازتون متنفرن ولی بازم مثل گوه چسبیدین به مملکت، برید از هون جایی که اومدید,Negative
921," ""دوستان امیر هستم از خوزستان.Peppermint رو داریم میبینیم با صحنه های خشن کشتن و زخمی شدن و بستن زخم ها و کشته شدن شوهر و بچه طرف اوکی بودم تنها صحنه ای که اصلا تحمل نداشتم و عصبیم میکرد و گفتم نمیخوام ببینم صحنه بی عدالتی و باختن به ناحق شاکی توی دادگاه بود رومو از لپ تاپ برگردوندم",Negative
922,لعنت به بالا تا پایینتون، دو دقیقه اومدیم بتمرگیم هی خبرای مزخرف و شامورتی بازیای شما رو باید ببینیم، ما چه گهی خوردیم تو این مملکت به دنیا اومدیم؟,Negative
923,فراکسیون #محيط_زيست مجلس بعد از جلسه با مسئولان اطلاعات سپاه، یک جلسه هم با خانواده بعضی از بازداشتشدگان و کارشناسان این حوزه برگزار کرد که مشخص شد امکان جاسوسی با دوربینها و تجهیزاتی که دراختیار فعالان محیط زیست قرار داره، میسر نیست! #کاووس_سید_امامی,Neutral
924,???? ممنون .  چقدر خوشحال شدم . عجب جایزه ایه . ?????,Positive
925,مهم ترین تغییر عربستان از نظر من این جمله پادشاه سعودی ست: از من انتقاد کنید.,Neutral
926, دمت گرم عجب گل گفتی خاک عالم برسراین ملت بیشعور,Negative
927,با توجه به اعدام ریحانه جباری و #زهرا_هاشمي اگر مورد تجاوز گرفتی حق دفاع کردن و جنگیدن نداری و با توجه به پرونده هایی مثل طوسی و امثال اون و حرف های #ابطحی حق شکایت و اعتراض هم نداری. تو کشوری که دین و قانونش رو متجاوزا نوشتن،متجاوز ها شاکی هستن و قربانی ها مجرم.,Negative
931,کار سروش صلواتیان برای شاد کردن بچه های جازموریان واقعا ستودنیه. بقول سروش شایداز نظر منوشما این اتفاق خیلی ساده و پیش پاافتاده باشه اما این نمایش دل کلی بچه رو شاد کرد. جازموریان یکی از محرومترین مناطق درکشور است. #جازموریان_تنها_نیست,Positive
932,اصلا ناراحت نیستم خیلی با افتخار نون حلال حلال میبرم تو خونه ام... زبان تدریس میکنم بعضی وقتا اما فقط برای همونهمسایه های خودم تو شهرک کاروان بچه های دوراندبیرستان اما پولی ازشون نمیگیرم چون کهندارن .. حالمو خوب میکنه تونستم براشون کاری کنم برکتش تو زندگیم برمیگرده,Positive
933,وسط رویاهام همش به این فکر میکنم بعد از اینکه باشگاه یونتوس رو خریدم اسمش رو از juventus به youventus تغییر بدم,Neutral
935,برای من لحظه مشخصی برای کشف حقیقت نبوده و هیچ چیز بخصوصی ناگهان الهام بخش من نشده، بلکه فقط مجموعه ای منظم از هزاران مورد بی حرمتی، هزاران مورد خرد شدن شخصیت و هزاران مورد لحظه از یاد رفته مرا به خشم می آورد، شورشی می کرد و این خواسته را در من تقویت می کرد که با سیستمی که مردم,Negative
936,"افکاری که باعث ترستان میشود، در بیان صادقانه و با اعتماد تبدیل به #هیچ میشود. درست مثل ترس از اشیاء در تاریکی که به محض ایجاد نور، هویتشان برملا میشود. کسی را پیدا کنید که بی قضاوت، حرفهایتان را بشنود.غالبا او نیز داستانهایی دارد که به شما میفهماند""تنها نیستید"" #احمد_شاملو",Neutral
937, بدجوری خورد تو ذوقمعجیبه! تو تورنمنتهای ورزشی، معمولا چه در مراسم افتتاحیه و چه اختتامیه از بانوان سفیدپوست استفاده میشه! این جدا قابل تامله! چپایی که دنیای مد و فشنو به لجن کشیدن؛ چطور این یه تپهرو سالم گذاشتن,Positive
939,خبر اومده دیوان #لاهه رای داده به ایران. اوه ... احتمالا باعث خشم #بولتون میشه این یعنی رفع محدودیتهای #بشر دوستانه و #هوانوردی علیه ایران امیدوارم علاوه بر هواپیما، دارو وموارد خاص تولید استراتژیک رو هم شامل بشه از اروپا ورفع تحریم بشه... منظورم تحریم چند قلم خاص زندگیه مردمه.,Neutral
941,بچه ها من باز تصمیم ام عوض شد. من از ساری میرم. (محمدرضا و سوگند به شادی و سور میپردازند.),Positive
942,خیلی نرم وسبک هست دورچشم نرم ولطیف میشه وچروکها کمتر به چشم میاداما تاثیرش بعد ۶ هفته معلوم میشه که زوده من حالا نظر بدم,Positive
943,در بهاران در حریم خانه های روستا خنده های بچه های کوچه #بی_فردا نبود عطر یاس باغ مشتی در فضا پیچیده بود بوی خوب نان گندم در فضا #تنها نبود,Positive
944,خیلی وارد نیستم ولی اپلیکیشنی نداریم که فقط صدا بشه گذاشت؟فکرنکنین تو تایپ تنبلم ها نه:) ولی نوشتن حسِ خشم،ترس،عشق رو منتقل نمی کنه,Neutral
947,سردار سیف اللهی معاون دبیر شورای عالی امنیت ملی: در چند سال اخیر وزارت اطلاعات ۵۸ تیم تروریستی داعش را شناسایی و نابود کرده است,Neutral
948,شرح حال ی مشت کسخل اینجاست که میگن با ادب باشین=)))))من بی ادبم مادرتم میگام،انفالو کن چاقالز …,Negative
949,کمپین جمع آوری پول زدن برای عمل آب مروارید چشم یه سگ ، بعد من یه سری به دوست و آشنا رو انداختم که یه پولی قرض بدن برم آزمایشایی که دکتر برام نوشته رو بدم همشون گفتن نمیخواد باو تهش هممون رفتنیایم,Neutral
950,دوستان متاسفانه دیگه نمیتونید از سایه ها و رژهای mac که خریدین استوری بگیرید و بعد استوری بعدش عکس یه سگ بذارید و به عدم رعایت حقوق حیوانات اعتراض کنید. چون بعدش ما به عقلتون شک میکنیم:))) …,Neutral
951,صحنه خنده دار یعنی صدای گرفته و خروسی رضا بابک وقتی تو آرایشگاه زیبا تلفن جواب میده :)),Positive
955,عیب ماست که قدر لحظهها را نمیدانیم قرار نیست ایدهآل رخ دهد مگر اینکه از همین اندک لحظهها شاد شویم و فرصتی را غنیمت بشماریم اکنون و همین اندک آب را عشق است …,Positive
957,بهش پول دادن که ازایران بره تا بگن فرارکردپیش اربابش امریکا ازترس خشم امت حزب الله حالا که نرفت اعترافاتش با ضرب تهدید وشکنجه را دادن دادگاه بیست وسی که زهراچخماقی واسش تفهیم کنه برای شادی دل امام زمان ....ای مرده شورببرنت با اون همه پروتز که واسه پولش دروغ شاخداری رجز میکنی,Negative
959,"این توییت ""گه تو مغزت"" بنا به درخواست آیدا احدیاتی صادر گردیده نامبرده در صورت اعتراض می تواتد به دادگاه مراجعه و درخواست کتبی ارایه دهد",Neutral
960,"از جمله ""طفلی گناه داره"" متنفرم",Negative
961,چیزی که المپیاد بهمون یاد نداد این بود که بتونیم خودمونو زور کنیم که دو سه روز یه درسی رو که ازش متنفر هستیم بخونیم...,Negative
962,نمیفهمم. الان که باید بیخیال باشم و سرم تو لاک خودم باشه، مثل گدازه شدم از شدت خشم و اضطراب.,Negative
963,فرق ازدواج کردن با رل زدن چیه وقتی هیچجوره نمیشه با طرفت کات کنی؟! حس یه مرد ۵۰ساله رو دارم که ۲۵ساله ازدواج کرده، ۲تا هم بچه داره! لعنت به تعهد,Negative
965,فردا میریم مسافرت کلید رو باید بدم به یکی بیاد به سیستمم آب بده.,Neutral
966,گاهی سرت را بالا بگیر؛ قطعا دنیا جای زیباتری خواهد شد ... ۱. گنبد مسجد شیخ لطف الله اصفهان ۲. سقف باشکوه تالار موسیقی کاخ عالی قاپو اصفهان ۳.مسجد جامع عباسی اصفهان ۴. تیمچه امین الدوله کاشان,Positive
967, عجب بانک اطلاعاتی ! پس یعنی اگر من ندونم نماز جمعه تو شهر من کجا برگزار میشه و نماز میت چطوریه این بنده خداها برای بانک اطلاعاتیشون میخواستن شرمنده من نمیدونستم,Positive
969,اینکه سه نفر بتونن یه نفر باشن عجیب نیست.اینکه یه نفر میتونه سه نفر باشه عجیبه,Positive
970,"از فردا، در #GGJ2019 در سایت  قراره که با تم امسال، برد گیم یا کارت گیم بسازم و البته این 4 تا بازی (Mr jack pocket, star realms, monopoly, uno) رو هم برا تفریح در کنار بچه ها میبرم ما داریم میآییم",Positive
971,خداییش مردا یه چند ماه نرن استادیوم. این اعتراض که دیگه ضرر جانی و مالی هم نداره! راحت ترین اعتراضه. اگه ملت این کار رو هم نکنن، دیگه ...,Neutral
974,من با خوندن فقط توییت بعضی ها (!) اعصابم بهم میریزه، پیشاپیش برای همه افرادی که به مباحثه با اینا (!) میپردازند طلب صبر و تمدد اعصاب دارم,Negative
975,با فقر اجباری به اندازه کافی و بیشتر یک خانواده و بچه های یک خانواده را نابود میکنید با قطع دستش آن ذره های زندگی را هم از آنها گرفتید . لعنت به شما خود شما که واژه ی دزدی را دچار سو تفاهم کردید...,Negative
